8.32, 0.71, 8.40, DT, 0.55, 0.00, 21909.93, 1491.41, 34323.25
8.25, -0.10, 8.09, DT, 0.55, 0.00, 21909.93, 1491.41, 34214.08
9.94, 0.29, 8.09, DT, 0.50, 0.00, 21909.93, 1491.41, 36737.69
10.66, -0.17, 8.20, DT, 0.48, 0.00, 21909.93, 1491.41, 37806.13
12.84, 0.61, 8.61, SM, 0.15, 1043.99, 35319.69, 447.42, 41066.72
12.43, -0.38, 9.12, SF, 0.37, 134.23, 36988.14, 313.20, 40881.18
12.84, -0.38, 9.68, SM, 0.07, 219.24, 39802.54, 93.96, 41008.71
12.99, -0.20, 10.22, SM, 0.07, 65.77, 40657.18, 28.19, 41023.46
12.72, -0.00, 10.85, SM, 0.07, 19.73, 40908.09, 8.46, 41015.62
11.89, 0.05, 11.29, SF, 0.25, 2.54, 40938.26, 5.92, 41008.66
10.77, -0.00, 11.53, DT, 0.47, 0.00, 40938.26, 5.92, 41002.03
10.54, 0.57, 11.76, DT, 0.50, 0.00, 40938.26, 5.92, 41000.66
9.75, 0.61, 11.74, DT, 0.50, 0.00, 40938.26, 5.92, 40995.95
7.79, -0.36, 11.46, DT, 0.55, 0.00, 40938.26, 5.92, 40984.39
7.88, -0.12, 10.96, DT, 0.55, 0.00, 40938.26, 5.92, 40984.88
7.55, -0.35, 10.47, DT, 0.56, 0.00, 40938.26, 5.92, 40982.94
7.07, -0.80, 9.90, DT, 0.59, 0.00, 40938.26, 5.92, 40980.13
7.14, -0.93, 9.31, BF, 0.61, 1721.24, 28656.78, 1727.16, 40980.50
7.05, -1.14, 8.74, BF, 0.64, 1219.52, 20059.75, 2946.68, 40832.43
9.34, 0.24, 8.49, DT, 0.50, 0.00, 20059.75, 2946.68, 47584.78
8.99, -0.06, 8.31, DT, 0.52, 0.00, 20059.75, 2946.68, 46551.70
10.29, 0.69, 8.28, DT, 0.50, 0.00, 20059.75, 2946.68, 50376.79
10.03, 0.40, 8.31, DT, 0.50, 0.00, 20059.75, 2946.68, 49627.78
11.76, 1.23, 8.71, DT, 0.44, 0.00, 20059.75, 2946.68, 54713.91
12.98, 1.59, 9.22, SM, 0.15, 2062.68, 46831.47, 884.01, 58305.07
13.60, 1.46, 9.83, SM, 0.06, 618.80, 55247.90, 265.20, 58854.94
12.94, 0.50, 10.41, SM, 0.07, 185.64, 57649.21, 79.56, 58678.35
12.79, -0.09, 10.98, SM, 0.14, 55.69, 58361.47, 23.87, 58666.72
